version,model_name,algorithm,mae,rmse,r2,train_date,status,model_file
1,AQI Predictor,Random Forest,5.55,8.5,0.943,2026-08-03 16:51,Archived,random_forest_v1.pkl
2,AQI Predictor,Random Forest,5.55,8.5,0.943,2026-08-03 16:51,Archived,random_forest_v2.pkl
3,AQI Predictor,Random Forest,3.577,4.8203,0.9523,2026-08-07 11:19,Challenger,random_forest_v_compare.pkl
5,AQI Predictor,Ridge Regression,0.8345,1.0781,0.9976,2026-08-07 11:19,Production,ridge_model.pkl
