date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2022-08-01,28.1,85,1001.4,28.7,0.2,,,,,,,
2022-08-02,28.2,85,1001.5,23.1,0.6,,,,,,,
2022-08-03,28.0,86,1001.6,17.8,0.3,,,,,,,
2022-08-04,28.3,88,1001.8,14.2,0.4,60.37894736842105,28.03684210526316,495.2105263157895,22.426315789473687,24.389473684210525,62.36842105263158,
2022-08-05,28.6,86,1000.2,16.0,0.3,58.3375,28.2125,507.4166666666667,22.725,24.879166666666663,53.5,82.26315789473684
2022-08-06,28.2,86,998.6,17.0,0.8,51.71666666666667,27.46666666666667,431.9583333333333,22.1375,19.204166666666666,44.16666666666666,83.83333333333333
2022-08-07,28.5,89,997.8,12.6,24.9,89.125,57.62916666666666,944.125,39.29166666666666,42.90833333333333,148.08333333333334,147.25
2022-08-08,28.9,87,997.5,13.4,0.0,103.12916666666666,64.52083333333333,1150.5,46.79583333333333,55.06666666666666,122.875,176.75
2022-08-09,29.6,86,996.6,10.2,3.3,77.5625,54.0375,849.0,50.87083333333334,45.22083333333333,84.29166666666667,152.5
2022-08-10,29.2,89,995.0,10.0,26.0,156.36666666666667,108.3875,1297.5833333333333,65.39166666666667,51.6625,104.79166666666669,157.66666666666666
2022-08-11,29.4,86,993.9,16.3,28.8,122.84583333333332,83.28750000000001,1163.0416666666667,49.07083333333333,52.00833333333333,146.29166666666666,200.41666666666663
2022-08-12,28.1,86,994.5,24.4,82.7,49.29166666666666,31.21666666666667,605.75,34.49166666666667,32.987500000000004,82.20833333333333,138.375
2022-08-13,27.2,87,997.3,17.1,21.2,48.94166666666667,32.1375,704.0,35.56666666666667,49.34583333333333,94.0,99.75
2022-08-14,27.5,84,997.3,17.6,43.0,39.90833333333333,24.97083333333333,475.9166666666667,20.325,27.83333333333333,99.5,105.08333333333331
2022-08-15,27.7,87,999.2,12.5,32.0,38.45,25.370833333333334,678.125,47.37916666666666,53.9125,58.875,79.54166666666667
2022-08-16,27.6,87,1000.6,8.4,11.1,43.645833333333336,28.066666666666663,644.25,39.54166666666666,38.458333333333336,70.70833333333333,77.95833333333333
2022-08-17,27.9,88,999.3,20.0,19.1,28.791666666666668,19.054166666666667,435.0416666666667,21.5125,18.7625,81.375,79.54166666666667
