date,temperature,pressure,wind_speed,rain,humidity,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aqi,last_updated,year,month,day,day_of_week,day_of_year,weekend,AQI_lag_1,AQI_lag_2,AQI_lag_3,AQI_3day_mean,AQI_7day_mean,rain_flag,temp_humidity,Predicted_AQI,Category
2026-08-20,27.8,1004.5,16.5,0.3,78.0,14.855833333333337,66.55708333333332,68.30499999999999,0.0929166666666666,0.4554166666666666,33.458333333333336,3.0,20 Aug 2026 03:10 AM,2026,8,20,3,232,0,46.6,49.6,46.3,47.5,119.05952380952382,1.0,2168.4,50.74061324328649,Moderate 🟡
2026-08-21,27.9,1003.4,16.2,0.1,77.5,19.34083333333333,89.80208333333333,69.69625,0.0925,0.5204166666666666,39.21333333333333,3.125,20 Aug 2026 03:10 AM,2026,8,21,4,233,0,50.74061324328649,46.6,49.6,48.98020441442883,119.05952380952382,1.0,2162.25,57.35271638473443,Moderate 🟡
2026-08-22,28.1,1002.2,17.1,0.0,77.0,22.89708333333333,101.4275,69.24833333333333,0.1045833333333333,0.6095833333333333,40.309583333333336,3.8333333333333335,20 Aug 2026 03:10 AM,2026,8,22,5,234,1,57.35271638473443,50.74061324328649,46.6,51.564443209340304,119.05952380952382,0.0,2163.7000000000003,59.91468987118963,Moderate 🟡
2026-08-23,28.4,1001.8,13.0,0.0,77.5,24.314090909090908,105.3481818181818,71.75954545454546,0.1209090909090909,0.6559090909090909,36.88454545454545,3.954545454545455,20 Aug 2026 03:10 AM,2026,8,23,6,235,1,59.91468987118963,57.35271638473443,50.74061324328649,56.00267316640352,119.05952380952382,0.0,2201.0,62.22600927444964,Moderate 🟡
