date,temperature,pressure,wind_speed,rain,humidity
2026-08-20,27.8,1004.5,16.5,0.3,78.0
2026-08-21,27.9,1003.4,16.2,0.1,77.5
2026-08-22,28.1,1002.2,17.1,0.0,77.0
2026-08-23,28.4,1001.8,13.0,0.0,77.5
