date,temperature,pressure,wind_speed,rain,humidity
2026-08-06,28.9,999.8,16.2,0.0,78.0
2026-08-07,28.9,1000.2,15.6,0.0,75.0
2026-08-08,28.7,1001.2,12.9,0.1,77.5
2026-08-09,29.0,1002.6,12.3,0.0,70.0
