date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2022-08-01,,,,,,,
2022-08-02,,,,,,,
2022-08-03,,,,,,,
2022-08-04,60.37894736842105,28.03684210526316,495.2105263157895,22.426315789473687,24.389473684210525,62.36842105263158,
2022-08-05,58.3375,28.2125,507.4166666666667,22.725,24.879166666666663,53.5,82.26315789473684
2022-08-06,51.71666666666667,27.46666666666667,431.9583333333333,22.1375,19.204166666666666,44.16666666666666,83.83333333333333
2022-08-07,89.125,57.62916666666666,944.125,39.29166666666666,42.90833333333333,148.08333333333334,147.25
2022-08-08,103.12916666666666,64.52083333333333,1150.5,46.79583333333333,55.06666666666666,122.875,176.75
2022-08-09,77.5625,54.0375,849.0,50.87083333333334,45.22083333333333,84.29166666666667,152.5
2022-08-10,156.36666666666667,108.3875,1297.5833333333333,65.39166666666667,51.6625,104.79166666666669,157.66666666666666
2022-08-11,122.84583333333332,83.28750000000001,1163.0416666666667,49.07083333333333,52.00833333333333,146.29166666666666,200.41666666666663
2022-08-12,49.29166666666666,31.21666666666667,605.75,34.49166666666667,32.987500000000004,82.20833333333333,138.375
2022-08-13,48.94166666666667,32.1375,704.0,35.56666666666667,49.34583333333333,94.0,99.75
2022-08-14,39.90833333333333,24.97083333333333,475.9166666666667,20.325,27.83333333333333,99.5,105.08333333333331
2022-08-15,38.45,25.370833333333334,678.125,47.37916666666666,53.9125,58.875,79.54166666666667
2022-08-16,43.645833333333336,28.066666666666663,644.25,39.54166666666666,38.458333333333336,70.70833333333333,77.95833333333333
2022-08-17,28.791666666666668,19.054166666666667,435.0416666666667,21.5125,18.7625,81.375,79.54166666666667
2022-08-18,42.03333333333333,22.23333333333333,271.5,13.645833333333334,11.458333333333334,47.875,66.70833333333333
2022-08-19,46.5125,22.1,234.125,12.4,11.1375,35.208333333333336,73.45833333333333
