version,algorithm,model_file,r2,mae,rmse,train_date,status
1,Random Forest,rf_model.pkl,0.1625,6.7342,42.8326,2026-08-27 10:57,Challenger
2,Ridge Regression,ridge_model.pkl,0.1953,7.9384,41.9859,2026-08-27 10:57,Production
3,PyTorch LSTM,pytorch_lstm.pt,0.11,8.9054,44.1558,2026-08-27 10:57,Challenger
